Rank,Country,Players,Points,Number,Games,Badges,XP,Hours
0,Unknown,135643,86532124.75,137664177,31410891,5453964,2252121996,412471186.4
1,United States,59698,52132889.98,84410455,20379201,2569218,974895706,236137390.5
2,Russian Federation,31058,24753943.31,37279292,7247856,1657378,693424533,104656082.0
3,Germany,21750,18214362.15,28423805,6658939,1381807,590848431,86523185.4
4,United Kingdom (Great Britain),16225,15635912.83,25101789,5780703,786975,294574732,68131144.6
5,Canada,12483,10999031.7,17436104,4012880,606502,239174494,49354715.3
6,China,15605,10847234.66,17138407,6168652,1100485,506417923,54823363.8
7,Brazil,15569,10136859.28,16173137,3918546,774781,247132541,54157619.5
8,Poland,11358,9085626.49,13802221,3123884,523117,178278957,39163756.6
9,Japan,9548,8802348.47,13143190,3328328,698257,265270862,38756414.3
10,France,7675,7817051.6,11611862,2362871,384431,130107826,29692105.0
11,Australia,7371,7318530.62,11709921,2736605,485104,219024830,30956487.7
12,Spain,5105,4537298.47,6930347,2271456,375937,99721631,17210293.2
13,Sweden,5362,4194212.78,6806585,1471670,290424,119980056,23870287.8
14,Netherlands,4240,4174614.85,6448240,1507690,243812,87958989,16888486.3
15,Ukraine,6973,4114691.79,6299182,1295167,293445,91463018,20431118.9
16,Argentina,3916,3811770.87,5913309,1397828,238117,90372867,15321765.4
17,Italy,4099,3548366.79,5274205,1266010,172582,57246514,12655501.1
18,Finland,3236,3380382.8,5189089,1063770,229371,95332441,14977763.8
19,Czech Republic,3565,3015124.31,4633293,1046543,204493,72246250,12674015.6
20,Turkey,4818,2983500.43,4707928,1058591,235621,95469426,14647726.3
21,Denmark,2886,2489456.75,3942458,821946,174638,83669063,14573639.4
22,Norway,2896,2478832.14,4101854,840887,199095,100344979,13470648.1
23,"Korea, Republic of",2469,2443801.59,3636723,1693940,221376,77072586,10948981.3
24,Portugal,3057,2163642.54,3364269,917755,192403,67408865,10805495.3
25,Belgium,2028,2060160.63,3185122,719731,127950,47122183,8062401.5
26,Austria,2029,1875034.64,2905094,658234,133277,61458324,9227984.9
27,Romania,2754,1665744.66,2569321,719291,198206,70209268,9156773.7
28,Hungary,1733,1649075.99,2421025,609321,108537,32560598,6027525.9
